地域,暮らし,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
佐賀県,実家暮らし,0.030,0.072,0.227,0.434,0.603,0.666,0.642,0.570,0.482,0.437,0.407,0.417
佐賀県,一人暮らし,0.970,0.928,0.773,0.566,0.397,0.334,0.358,0.430,0.518,0.563,0.593,0.583
長崎県,実家暮らし,0.023,0.079,0.224,0.428,0.588,0.640,0.587,0.500,0.412,0.368,0.323,0.309
長崎県,一人暮らし,0.977,0.921,0.776,0.572,0.412,0.360,0.413,0.500,0.588,0.632,0.677,0.691
熊本県,実家暮らし,0.028,0.083,0.199,0.398,0.564,0.625,0.609,0.541,0.466,0.407,0.359,0.345
熊本県,一人暮らし,0.972,0.917,0.801,0.602,0.436,0.375,0.391,0.459,0.534,0.593,0.641,0.655
大分県,実家暮らし,0.023,0.074,0.198,0.380,0.531,0.597,0.578,0.511,0.436,0.392,0.327,0.265
大分県,一人暮らし,0.977,0.926,0.802,0.620,0.469,0.403,0.422,0.489,0.564,0.608,0.673,0.735
宮崎県,実家暮らし,0.035,0.099,0.240,0.423,0.588,0.633,0.589,0.503,0.428,0.366,0.317,0.281
宮崎県,一人暮らし,0.965,0.901,0.760,0.577,0.412,0.367,0.411,0.497,0.572,0.634,0.683,0.719
鹿児島県,実家暮らし,0.035,0.078,0.199,0.370,0.549,0.609,0.573,0.476,0.389,0.335,0.290,0.257
鹿児島県,一人暮らし,0.965,0.922,0.801,0.630,0.451,0.391,0.427,0.524,0.611,0.665,0.710,0.743
沖縄県,実家暮らし,0.066,0.166,0.315,0.449,0.584,0.644,0.617,0.557,0.487,0.420,0.373,0.391
沖縄県,一人暮らし,0.934,0.834,0.685,0.551,0.416,0.356,0.383,0.443,0.513,0.580,0.627,0.609
