地域,最終学歴,～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～
茨城県,中卒,0.011,0.024,0.038,0.048,0.050,0.043,0.051,0.051,0.047,0.085,0.187,0.274
茨城県,高卒,0.078,0.335,0.353,0.377,0.397,0.417,0.487,0.560,0.592,0.583,0.591,0.577
茨城県,短大・高専卒,0.000,0.159,0.217,0.242,0.281,0.326,0.313,0.262,0.244,0.220,0.149,0.102
茨城県,大卒,0.000,0.140,0.343,0.297,0.243,0.190,0.133,0.114,0.106,0.107,0.071,0.045
茨城県,大学院卒,0.000,0.002,0.029,0.029,0.025,0.021,0.015,0.011,0.009,0.005,0.003,0.002
茨城県,在学中,0.911,0.339,0.020,0.007,0.004,0.002,0.002,0.002,0.001,0.000,0.000,0.000
栃木県,中卒,0.016,0.028,0.044,0.053,0.056,0.043,0.053,0.051,0.045,0.078,0.184,0.294
栃木県,高卒,0.078,0.336,0.343,0.370,0.388,0.418,0.481,0.558,0.588,0.584,0.611,0.570
栃木県,短大・高専卒,0.000,0.181,0.250,0.268,0.306,0.345,0.327,0.281,0.264,0.237,0.142,0.096
栃木県,大卒,0.000,0.139,0.328,0.284,0.229,0.177,0.128,0.103,0.097,0.097,0.062,0.039
栃木県,大学院卒,0.000,0.002,0.020,0.020,0.018,0.015,0.010,0.007,0.005,0.004,0.002,0.001
栃木県,在学中,0.907,0.314,0.014,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000
群馬県,中卒,0.015,0.029,0.045,0.056,0.054,0.045,0.050,0.049,0.040,0.059,0.151,0.273
群馬県,高卒,0.068,0.305,0.310,0.327,0.353,0.386,0.463,0.545,0.577,0.567,0.611,0.586
群馬県,短大・高専卒,0.000,0.195,0.270,0.298,0.341,0.376,0.350,0.292,0.270,0.261,0.164,0.100
群馬県,大卒,0.000,0.139,0.341,0.294,0.231,0.177,0.125,0.103,0.105,0.109,0.071,0.039
群馬県,大学院卒,0.000,0.001,0.017,0.018,0.017,0.013,0.010,0.008,0.007,0.004,0.002,0.001
群馬県,在学中,0.917,0.331,0.016,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000
埼玉県,中卒,0.010,0.017,0.032,0.041,0.041,0.034,0.043,0.042,0.035,0.050,0.126,0.215
埼玉県,高卒,0.059,0.227,0.242,0.270,0.296,0.330,0.405,0.481,0.508,0.509,0.573,0.588
埼玉県,短大・高専卒,0.000,0.174,0.234,0.265,0.309,0.371,0.371,0.332,0.312,0.290,0.194,0.132
埼玉県,大卒,0.000,0.198,0.452,0.391,0.327,0.245,0.166,0.135,0.137,0.145,0.103,0.063
埼玉県,大学院卒,0.000,0.001,0.023,0.027,0.024,0.018,0.012,0.008,0.007,0.006,0.003,0.002
埼玉県,在学中,0.930,0.381,0.016,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000
千葉県,中卒,0.012,0.017,0.030,0.041,0.040,0.034,0.042,0.042,0.037,0.051,0.113,0.183
千葉県,高卒,0.064,0.234,0.248,0.279,0.305,0.323,0.387,0.449,0.488,0.496,0.559,0.581
千葉県,短大・高専卒,0.000,0.174,0.229,0.258,0.295,0.364,0.373,0.340,0.317,0.291,0.209,0.152
千葉県,大卒,0.000,0.198,0.451,0.385,0.328,0.255,0.182,0.156,0.147,0.155,0.114,0.081
千葉県,大学院卒,0.000,0.002,0.026,0.030,0.028,0.021,0.014,0.011,0.008,0.007,0.003,0.002
千葉県,在学中,0.925,0.375,0.017,0.007,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.000
東京都,中卒,0.008,0.009,0.015,0.021,0.023,0.021,0.026,0.028,0.025,0.029,0.071,0.133
東京都,高卒,0.050,0.159,0.142,0.168,0.194,0.218,0.272,0.324,0.359,0.373,0.460,0.511
東京都,短大・高専卒,0.000,0.127,0.174,0.201,0.243,0.312,0.358,0.353,0.342,0.319,0.252,0.197
東京都,大卒,0.000,0.246,0.591,0.537,0.474,0.395,0.304,0.266,0.249,0.259,0.204,0.152
東京都,大学院卒,0.000,0.003,0.049,0.062,0.061,0.049,0.035,0.026,0.022,0.019,0.012,0.008
東京都,在学中,0.942,0.456,0.029,0.011,0.006,0.005,0.004,0.004,0.003,0.002,0.001,0.001
神奈川県,中卒,0.010,0.016,0.028,0.035,0.035,0.029,0.034,0.034,0.032,0.038,0.090,0.157
神奈川県,高卒,0.050,0.187,0.193,0.222,0.246,0.268,0.333,0.382,0.412,0.425,0.514,0.552
神奈川県,短大・高専卒,0.000,0.162,0.219,0.248,0.289,0.359,0.382,0.364,0.346,0.312,0.230,0.173
神奈川県,大卒,0.000,0.215,0.504,0.446,0.386,0.309,0.229,0.204,0.196,0.214,0.159,0.114
神奈川県,大学院卒,0.000,0.002,0.037,0.041,0.040,0.031,0.020,0.014,0.012,0.010,0.007,0.004
神奈川県,在学中,0.940,0.418,0.018,0.007,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.000
新潟県,中卒,0.010,0.022,0.032,0.038,0.042,0.038,0.041,0.040,0.041,0.086,0.218,0.345
新潟県,高卒,0.064,0.325,0.349,0.372,0.410,0.456,0.536,0.631,0.655,0.639,0.615,0.543
新潟県,短大・高専卒,0.000,0.225,0.301,0.323,0.333,0.340,0.299,0.240,0.223,0.198,0.118,0.080
新潟県,大卒,0.000,0.119,0.290,0.246,0.197,0.152,0.112,0.081,0.075,0.074,0.048,0.031
新潟県,大学院卒,0.000,0.001,0.014,0.016,0.015,0.012,0.011,0.008,0.005,0.003,0.002,0.001
新潟県,在学中,0.926,0.307,0.013,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000
富山県,中卒,0.014,0.025,0.033,0.041,0.040,0.029,0.032,0.034,0.025,0.032,0.111,0.236
富山県,高卒,0.064,0.314,0.289,0.301,0.319,0.347,0.416,0.510,0.560,0.579,0.635,0.605
富山県,短大・高専卒,0.000,0.237,0.301,0.330,0.356,0.378,0.365,0.317,0.289,0.267,0.172,0.114
富山県,大卒,0.000,0.153,0.337,0.295,0.259,0.225,0.174,0.129,0.120,0.117,0.079,0.044
富山県,大学院卒,0.000,0.002,0.025,0.026,0.023,0.018,0.013,0.009,0.006,0.005,0.002,0.001
富山県,在学中,0.922,0.269,0.015,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000
石川県,中卒,0.009,0.022,0.034,0.040,0.037,0.028,0.039,0.039,0.033,0.049,0.143,0.285
石川県,高卒,0.068,0.282,0.307,0.323,0.347,0.376,0.441,0.535,0.562,0.556,0.592,0.564
石川県,短大・高専卒,0.000,0.186,0.267,0.309,0.338,0.360,0.349,0.308,0.297,0.285,0.187,0.108
石川県,大卒,0.000,0.151,0.352,0.296,0.252,0.216,0.155,0.108,0.099,0.105,0.074,0.041
石川県,大学院卒,0.000,0.001,0.017,0.024,0.022,0.018,0.013,0.010,0.008,0.005,0.003,0.002
石川県,在学中,0.923,0.358,0.023,0.008,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000
福井県,中卒,0.010,0.025,0.038,0.044,0.044,0.035,0.049,0.050,0.039,0.061,0.175,0.310
福井県,高卒,0.080,0.368,0.360,0.364,0.398,0.413,0.467,0.567,0.607,0.596,0.603,0.555
福井県,短大・高専卒,0.000,0.188,0.253,0.279,0.300,0.328,0.320,0.269,0.260,0.243,0.154,0.096
福井県,大卒,0.000,0.153,0.319,0.289,0.236,0.205,0.150,0.104,0.088,0.095,0.066,0.038
福井県,大学院卒,0.000,0.002,0.018,0.019,0.019,0.016,0.013,0.008,0.006,0.004,0.002,0.001
福井県,在学中,0.910,0.265,0.012,0.005,0.003,0.002,0.001,0.002,0.001,0.000,0.000,0.000
山梨県,中卒,0.012,0.021,0.031,0.038,0.041,0.032,0.037,0.036,0.032,0.050,0.125,0.205
山梨県,高卒,0.058,0.264,0.291,0.312,0.315,0.344,0.420,0.504,0.520,0.528,0.602,0.606
山梨県,短大・高専卒,0.000,0.193,0.289,0.309,0.369,0.401,0.377,0.332,0.320,0.293,0.182,0.129
山梨県,大卒,0.000,0.144,0.359,0.314,0.252,0.204,0.151,0.119,0.119,0.123,0.087,0.058
山梨県,大学院卒,0.000,0.002,0.017,0.022,0.019,0.016,0.013,0.008,0.008,0.005,0.003,0.002
山梨県,在学中,0.930,0.376,0.013,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000
長野県,中卒,0.011,0.025,0.033,0.043,0.042,0.032,0.033,0.030,0.025,0.036,0.100,0.191
長野県,高卒,0.072,0.334,0.296,0.302,0.322,0.353,0.427,0.521,0.552,0.548,0.624,0.645
長野県,短大・高専卒,0.000,0.258,0.332,0.351,0.386,0.416,0.394,0.331,0.315,0.303,0.198,0.118
長野県,大卒,0.000,0.131,0.313,0.283,0.231,0.182,0.135,0.110,0.102,0.109,0.075,0.045
長野県,大学院卒,0.000,0.001,0.014,0.015,0.016,0.014,0.009,0.007,0.006,0.004,0.002,0.001
長野県,在学中,0.917,0.251,0.011,0.005,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000
岐阜県,中卒,0.014,0.030,0.044,0.059,0.055,0.043,0.051,0.055,0.047,0.066,0.174,0.319
岐阜県,高卒,0.076,0.332,0.346,0.364,0.394,0.416,0.476,0.537,0.568,0.559,0.579,0.526
岐阜県,短大・高専卒,0.000,0.182,0.245,0.264,0.287,0.327,0.319,0.285,0.274,0.261,0.176,0.114
岐阜県,大卒,0.000,0.144,0.336,0.289,0.244,0.198,0.142,0.114,0.104,0.109,0.068,0.039
岐阜県,大学院卒,0.000,0.001,0.017,0.019,0.017,0.014,0.010,0.007,0.005,0.004,0.002,0.001
岐阜県,在学中,0.910,0.311,0.012,0.005,0.004,0.002,0.002,0.002,0.001,0.001,0.000,0.000
静岡県,中卒,0.018,0.033,0.046,0.057,0.055,0.045,0.051,0.054,0.045,0.063,0.154,0.265
静岡県,高卒,0.084,0.355,0.340,0.365,0.377,0.393,0.460,0.541,0.584,0.574,0.607,0.586
静岡県,短大・高専卒,0.000,0.191,0.235,0.249,0.290,0.346,0.336,0.288,0.266,0.254,0.165,0.105
静岡県,大卒,0.000,0.158,0.348,0.305,0.257,0.200,0.141,0.108,0.100,0.104,0.071,0.043
静岡県,大学院卒,0.000,0.002,0.020,0.020,0.019,0.014,0.010,0.007,0.005,0.004,0.002,0.001
静岡県,在学中,0.898,0.261,0.011,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000
愛知県,中卒,0.015,0.026,0.040,0.052,0.053,0.041,0.052,0.053,0.050,0.065,0.159,0.276
愛知県,高卒,0.074,0.281,0.272,0.295,0.313,0.332,0.399,0.466,0.508,0.508,0.543,0.532
愛知県,短大・高専卒,0.000,0.158,0.217,0.237,0.267,0.344,0.357,0.326,0.305,0.289,0.204,0.134
愛知県,大卒,0.000,0.188,0.435,0.386,0.336,0.259,0.177,0.144,0.128,0.131,0.090,0.055
愛知県,大学院卒,0.000,0.002,0.023,0.026,0.027,0.021,0.014,0.009,0.008,0.006,0.003,0.002
愛知県,在学中,0.911,0.345,0.014,0.005,0.004,0.002,0.002,0.002,0.001,0.001,0.000,0.000
三重県,中卒,0.014,0.029,0.042,0.053,0.053,0.038,0.050,0.057,0.051,0.076,0.175,0.304
三重県,高卒,0.086,0.362,0.362,0.379,0.386,0.409,0.472,0.546,0.588,0.563,0.582,0.533
三重県,短大・高専卒,0.000,0.174,0.226,0.250,0.275,0.320,0.314,0.271,0.248,0.243,0.165,0.117
三重県,大卒,0.000,0.144,0.340,0.293,0.264,0.215,0.152,0.117,0.108,0.113,0.076,0.045
三重県,大学院卒,0.000,0.001,0.019,0.020,0.019,0.015,0.010,0.007,0.005,0.004,0.002,0.001
三重県,在学中,0.900,0.290,0.012,0.004,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000
滋賀県,中卒,0.011,0.022,0.034,0.043,0.042,0.034,0.036,0.039,0.033,0.051,0.133,0.232
滋賀県,高卒,0.068,0.269,0.278,0.296,0.311,0.333,0.392,0.476,0.521,0.526,0.600,0.593
滋賀県,短大・高専卒,0.000,0.172,0.245,0.289,0.321,0.375,0.383,0.331,0.310,0.290,0.179,0.116
滋賀県,大卒,0.000,0.155,0.400,0.339,0.296,0.234,0.172,0.141,0.126,0.125,0.084,0.056
滋賀県,大学院卒,0.000,0.002,0.029,0.026,0.028,0.021,0.015,0.011,0.008,0.006,0.004,0.002
滋賀県,在学中,0.921,0.380,0.013,0.006,0.003,0.002,0.002,0.002,0.001,0.001,0.000,0.000
京都府,中卒,0.008,0.013,0.030,0.038,0.037,0.029,0.037,0.044,0.038,0.043,0.111,0.196
京都府,高卒,0.045,0.171,0.202,0.232,0.264,0.285,0.348,0.407,0.439,0.449,0.537,0.572
京都府,短大・高専卒,0.000,0.129,0.213,0.241,0.280,0.354,0.373,0.349,0.333,0.317,0.214,0.143
京都府,大卒,0.000,0.171,0.481,0.430,0.369,0.294,0.214,0.181,0.173,0.178,0.130,0.083
京都府,大学院卒,0.000,0.002,0.039,0.046,0.044,0.035,0.024,0.018,0.015,0.012,0.008,0.005
京都府,在学中,0.947,0.513,0.036,0.013,0.006,0.003,0.003,0.002,0.002,0.001,0.001,0.000
大阪府,中卒,0.012,0.020,0.037,0.047,0.045,0.038,0.043,0.048,0.046,0.059,0.143,0.231
大阪府,高卒,0.058,0.229,0.225,0.256,0.284,0.303,0.374,0.439,0.471,0.465,0.530,0.555
大阪府,短大・高専卒,0.000,0.161,0.229,0.257,0.300,0.373,0.388,0.352,0.328,0.302,0.205,0.141
大阪府,大卒,0.000,0.184,0.461,0.401,0.337,0.260,0.179,0.148,0.144,0.165,0.117,0.071
大阪府,大学院卒,0.000,0.002,0.027,0.032,0.030,0.023,0.014,0.010,0.009,0.008,0.004,0.002
大阪府,在学中,0.930,0.404,0.021,0.008,0.004,0.003,0.002,0.002,0.002,0.001,0.000,0.000
兵庫県,中卒,0.010,0.020,0.036,0.043,0.041,0.034,0.038,0.040,0.034,0.045,0.117,0.197
兵庫県,高卒,0.055,0.232,0.252,0.279,0.296,0.307,0.364,0.419,0.450,0.456,0.539,0.567
兵庫県,短大・高専卒,0.000,0.145,0.207,0.234,0.279,0.346,0.367,0.343,0.330,0.305,0.203,0.148
兵庫県,大卒,0.000,0.185,0.459,0.407,0.352,0.287,0.212,0.184,0.174,0.185,0.135,0.084
兵庫県,大学院卒,0.000,0.002,0.028,0.030,0.029,0.023,0.017,0.012,0.010,0.009,0.005,0.003
兵庫県,在学中,0.935,0.416,0.018,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000
奈良県,中卒,0.011,0.017,0.031,0.038,0.035,0.028,0.029,0.031,0.027,0.037,0.097,0.158
奈良県,高卒,0.052,0.204,0.241,0.271,0.278,0.288,0.329,0.392,0.428,0.435,0.520,0.574
奈良県,短大・高専卒,0.000,0.149,0.229,0.253,0.306,0.380,0.405,0.375,0.356,0.335,0.240,0.174
奈良県,大卒,0.000,0.181,0.450,0.401,0.352,0.280,0.217,0.188,0.178,0.183,0.139,0.090
奈良県,大学院卒,0.000,0.002,0.026,0.029,0.027,0.022,0.017,0.012,0.009,0.008,0.005,0.003
奈良県,在学中,0.938,0.448,0.024,0.008,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000
和歌山県,中卒,0.013,0.030,0.049,0.060,0.057,0.047,0.052,0.061,0.054,0.075,0.178,0.272
和歌山県,高卒,0.082,0.367,0.380,0.388,0.402,0.414,0.480,0.549,0.565,0.528,0.555,0.571
和歌山県,短大・高専卒,0.000,0.192,0.246,0.262,0.294,0.329,0.320,0.272,0.263,0.266,0.179,0.111
和歌山県,大卒,0.000,0.128,0.296,0.268,0.227,0.196,0.138,0.110,0.111,0.127,0.085,0.045
和歌山県,大学院卒,0.000,0.001,0.016,0.018,0.017,0.012,0.008,0.006,0.006,0.004,0.002,0.001
和歌山県,在学中,0.905,0.281,0.013,0.005,0.003,0.002,0.002,0.002,0.001,0.001,0.000,0.000
鳥取県,中卒,0.016,0.029,0.043,0.048,0.048,0.036,0.037,0.036,0.027,0.044,0.115,0.193
鳥取県,高卒,0.078,0.367,0.364,0.381,0.421,0.445,0.503,0.569,0.565,0.551,0.605,0.633
鳥取県,短大・高専卒,0.000,0.192,0.287,0.298,0.297,0.321,0.302,0.268,0.285,0.285,0.197,0.123
鳥取県,大卒,0.000,0.119,0.279,0.247,0.211,0.180,0.144,0.117,0.116,0.116,0.080,0.050
鳥取県,大学院卒,0.000,0.001,0.012,0.020,0.017,0.017,0.012,0.008,0.007,0.003,0.002,0.001
鳥取県,在学中,0.907,0.292,0.014,0.006,0.005,0.002,0.002,0.002,0.001,0.001,0.000,0.000
島根県,中卒,0.012,0.027,0.042,0.049,0.054,0.040,0.052,0.052,0.041,0.076,0.183,0.298
島根県,高卒,0.074,0.360,0.340,0.359,0.387,0.419,0.483,0.553,0.575,0.556,0.585,0.558
島根県,短大・高専卒,0.000,0.218,0.297,0.310,0.310,0.332,0.307,0.266,0.272,0.262,0.164,0.104
島根県,大卒,0.000,0.126,0.291,0.256,0.226,0.189,0.142,0.120,0.105,0.100,0.066,0.039
島根県,大学院卒,0.000,0.001,0.016,0.019,0.019,0.017,0.013,0.008,0.005,0.004,0.002,0.001
島根県,在学中,0.914,0.268,0.014,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000
岡山県,中卒,0.014,0.025,0.040,0.049,0.048,0.039,0.044,0.042,0.031,0.039,0.102,0.175
岡山県,高卒,0.068,0.285,0.291,0.315,0.330,0.338,0.392,0.462,0.496,0.501,0.572,0.617
岡山県,短大・高専卒,0.000,0.168,0.241,0.270,0.294,0.338,0.357,0.328,0.307,0.298,0.208,0.141
岡山県,大卒,0.000,0.158,0.391,0.335,0.301,0.261,0.192,0.157,0.156,0.155,0.114,0.065
岡山県,大学院卒,0.000,0.001,0.019,0.023,0.024,0.021,0.014,0.010,0.008,0.006,0.003,0.003
岡山県,在学中,0.918,0.363,0.017,0.008,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000
広島県,中卒,0.012,0.026,0.041,0.049,0.044,0.031,0.036,0.034,0.026,0.032,0.078,0.145
広島県,高卒,0.058,0.254,0.251,0.264,0.284,0.294,0.344,0.416,0.449,0.461,0.569,0.618
広島県,短大・高専卒,0.000,0.169,0.246,0.280,0.323,0.389,0.423,0.391,0.371,0.344,0.243,0.168
広島県,大卒,0.000,0.180,0.422,0.376,0.321,0.264,0.182,0.148,0.146,0.157,0.106,0.066
広島県,大学院卒,0.000,0.001,0.022,0.024,0.025,0.020,0.014,0.009,0.007,0.006,0.003,0.002
広島県,在学中,0.929,0.370,0.018,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000
山口県,中卒,0.014,0.029,0.048,0.052,0.050,0.042,0.046,0.046,0.035,0.047,0.108,0.164
山口県,高卒,0.092,0.383,0.385,0.401,0.406,0.412,0.460,0.518,0.538,0.550,0.631,0.667
山口県,短大・高専卒,0.000,0.178,0.258,0.275,0.310,0.347,0.352,0.318,0.309,0.281,0.187,0.128
山口県,大卒,0.000,0.110,0.279,0.249,0.214,0.181,0.131,0.109,0.111,0.117,0.072,0.040
山口県,大学院卒,0.000,0.001,0.014,0.016,0.016,0.015,0.009,0.007,0.006,0.005,0.002,0.001
山口県,在学中,0.895,0.299,0.016,0.007,0.004,0.002,0.001,0.002,0.001,0.000,0.000,0.000
徳島県,中卒,0.009,0.021,0.033,0.045,0.039,0.033,0.038,0.044,0.038,0.066,0.159,0.256
徳島県,高卒,0.071,0.307,0.330,0.337,0.358,0.367,0.421,0.499,0.526,0.514,0.563,0.547
徳島県,短大・高専卒,0.000,0.150,0.207,0.244,0.278,0.318,0.326,0.274,0.268,0.252,0.170,0.132
徳島県,大卒,0.000,0.153,0.382,0.337,0.290,0.253,0.192,0.164,0.153,0.156,0.103,0.062
徳島県,大学院卒,0.000,0.002,0.028,0.030,0.030,0.025,0.021,0.016,0.015,0.010,0.006,0.003
徳島県,在学中,0.920,0.369,0.020,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.000,0.000
香川県,中卒,0.014,0.028,0.041,0.047,0.051,0.042,0.038,0.040,0.029,0.037,0.090,0.168
香川県,高卒,0.074,0.319,0.289,0.304,0.314,0.334,0.382,0.461,0.505,0.516,0.614,0.649
香川県,短大・高専卒,0.000,0.196,0.267,0.283,0.309,0.347,0.369,0.323,0.304,0.284,0.185,0.124
香川県,大卒,0.000,0.164,0.372,0.339,0.302,0.258,0.196,0.164,0.153,0.157,0.107,0.057
香川県,大学院卒,0.000,0.001,0.017,0.021,0.021,0.017,0.012,0.010,0.008,0.005,0.003,0.002
香川県,在学中,0.912,0.292,0.014,0.007,0.004,0.003,0.002,0.002,0.001,0.000,0.000,0.000
愛媛県,中卒,0.014,0.032,0.048,0.054,0.052,0.041,0.046,0.043,0.035,0.059,0.153,0.242
愛媛県,高卒,0.071,0.334,0.320,0.335,0.348,0.365,0.426,0.486,0.498,0.517,0.570,0.578
愛媛県,短大・高専卒,0.000,0.200,0.269,0.282,0.305,0.337,0.331,0.307,0.321,0.289,0.199,0.138
愛媛県,大卒,0.000,0.145,0.338,0.307,0.276,0.242,0.185,0.155,0.139,0.131,0.076,0.040
愛媛県,大学院卒,0.000,0.001,0.013,0.016,0.015,0.013,0.011,0.008,0.006,0.004,0.002,0.002
愛媛県,在学中,0.915,0.288,0.012,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000
高知県,中卒,0.011,0.024,0.040,0.046,0.050,0.048,0.056,0.061,0.058,0.094,0.195,0.295
高知県,高卒,0.054,0.307,0.324,0.350,0.362,0.384,0.445,0.492,0.515,0.518,0.552,0.539
高知県,短大・高専卒,0.000,0.191,0.283,0.290,0.319,0.347,0.338,0.307,0.299,0.267,0.170,0.115
高知県,大卒,0.000,0.123,0.322,0.287,0.244,0.199,0.147,0.126,0.118,0.116,0.079,0.049
高知県,大学院卒,0.000,0.001,0.014,0.017,0.020,0.018,0.012,0.011,0.009,0.005,0.003,0.002
高知県,在学中,0.935,0.354,0.016,0.009,0.005,0.003,0.002,0.002,0.002,0.000,0.000,0.000
福岡県,中卒,0.015,0.024,0.041,0.050,0.050,0.039,0.042,0.044,0.040,0.056,0.122,0.186
福岡県,高卒,0.070,0.271,0.278,0.310,0.344,0.362,0.414,0.484,0.524,0.549,0.615,0.634
福岡県,短大・高専卒,0.000,0.191,0.267,0.282,0.298,0.346,0.364,0.336,0.315,0.277,0.185,0.130
福岡県,大卒,0.000,0.155,0.376,0.330,0.283,0.233,0.165,0.126,0.114,0.113,0.076,0.048
